id,grupo,modelo_ciego,descripcion,A_fidelidad,B_iconografia,C_completitud,n_alucinaciones,notas
5_03,animales,M4374_42,"Texto propio de la etiqueta:
- OCR original: GUTIERREZ HERMANOS JEREZ MARCA REGISTRADA OLERA MEXICO
- Lectura visual corregida: GUTIERREZ HERMANOS JEREZ MARCA REGISTRADA SOLERA MEXICO
- Correcciones realizadas: Corrección de ""OLERA"" a ""SOLERA"" basándose en la imagen.
- Texto dudoso: No se aprecia
- Texto incompleto: No se aprecia

Nombre del producto:
- Solera

Marca principal:
- Gutierrez Hermanos

Bodega, fabricante, distribuidor o razón comercial:
- Gutierrez Hermanos

Tipo de producto visible:
- No se aprecia

Lugar, procedencia o denominación visible:
- Jerez
- Mexico

Añada visible:
- No se aprecia

Premios, medallas, exposación o concursos visibles:
- No se aprecia

Fechas visibles no asociadas a añada:
- No se aprecia

Variedad, clase o categoría del vino:
- No se aprecia

Graduación, volumen u otros datos técnicos:
- No se aprecia

Imagen o escena principal:
- Un ave con una rama en el pico sobre un fondo de franjas horizontales.

Personajes, figuras o seres representados:
- No se aprecia

Animales representados:
- Un ave (posiblemente un águila o rapaz).

Objetos visibles:
- Una rama con hojas.

Vestimenta, accesorios o atributos:
- No se aprecia

Elementos vegetales o agrícolas:
- Hojas y tallos de una planta.

Elementos naturales no vegetales:
- No se aprecia

Paisaje, arquitectura o entorno:
- No se aprecia

Elementos decorativos:
- Un emblema circular con un triángulo y un símbolo heráldico en su interior.
- Guirnalda o follaje que rodea el emblema y el texto.
- Fondo de franjas horizontales de color verde y rojo.

Sellos, escudos, medallas, premios, monedas o logotipos:
- Logotipo circular que contiene un triángulo con un símbolo interno.

Fondo:
- Franjas horizontales de color verde y rojo.

Colores predominantes:
- Verde, rojo, azul grisáceo, blanco y ocre.

Marco, borde o forma de la etiqueta:
- Forma octogonal con bordes redondeados y un marco blanco.

Tipografía y disposición del texto:
- Texto ""GUTIERREZ HERMANOS JEREZ"" dispuesto en arco superior.
- Texto ""MARCA REGISTRADA"" en vertical pequeño.
- Texto ""SOLERA"" en vertical grande.
- Texto ""MEXICO"" en vertical grande.
- Tipografía con remates (serif) de estilo clásico.

Texto marginal, firma, imprenta o litografía:
- No se aprecia

Marcas externas de archivo o digitalización:
- No se aprecia

Estado de conservación visible:
- Se observa desgaste en los bordes y pérdida de definición en algunas zonas de la impresión.

Calidad de la digitalización:
- Buena, con nitidez suficiente para la lectura.

Estilo visual:
- Ilustración clásica de estilo litográfico.

Observaciones visuales:
- El ave está posicionada de forma central, orientada hacia la derecha.
- El texto principal está dispuesto de forma vertical y curva.
- La composición presenta una fuerte simetría visual en el emblema central.
- El uso de colores primarios y secundarios es intenso.

Inferencias controlulas para búsqueda:
- La etiqueta podría pertenecer a un producto de tipo vino o destilado debido al término Solera.
- La presencia de Jerez y México sugiere una relación comercial entre ambas regiones.

Descripción semántica ampliada para búsqueda:
- Etiqueta comercial de estilo clásico con iconografía de ave.
- Ilustración de un ave rapaz sosteniendo una rama con hojas.
- Composición con fondo de franjas horizontales verdes y rojas.
- Emblema circular con un triángulo y símbolo heráldico central.
- Texto con la marca Gutierrez Hermanos y la palabra Solera.
- Elementos decorativos de follaje y guirnaldas.
- Diseño con tipografía serif dispuesta en arco y vertical.
- Estilo de litografía antigua para producto vinícola.

Descriptores para búsqueda:
- Etiqueta antigua; Solera; Gutierrez Hermanos; Jerez; Mexico; ave; águila; rama; hojas; follaje; guirnalda; emblema; triángulo; logotipo; franjas; verde; rojo; azul; tipografía serif; diseño vertical; ilustración clásica; litografía; producto vinícola; marca registrada; elemento decorativo; composición clásica; etiqueta comercial.",5,5,5,0,
5_05,animales,M9711_44,"Texto propio de la etiqueta:
- OCR original: FINO MARISMENO SANCHEZ ROMATE HNOS JEREZ R.I.S. 30.1.529/CA R.E. 232-CA 17,5º 70 dI
- Lectura visual corregida: FINO MARISMENO SANCHEZ ROMATE HNOS JEREZ R.I.S. 30.1.529/CA R.E. 232-CA 17,5º 70 cl.
- Correcciones realizadas: Corrección de ""70 dI"" a ""70 cl."" basándose en la lectura visual de la unidad de volumen.
- Texto dudoso: No se aprecia.
- Texto incompleto: No se aprecia.

Nombre del producto:
- Marismeno

Marca principal:
- No se aprecia

Bodega, fabricante, distribuidor o razón comercial:
- Sanchez Romate Hnos

Tipo de producto visible:
- Fino

Lugar, procedencia o denominación visible:
- Jerez

Añada visible:
- No se aprecia

Premios, medallas, exposiciones o concursos visibles:
- No se aprecia

Fechas visibles no asociadas a añada:
- No se aprecia

Variedad, clase o categoría del vino:
- Fino

Graduación, volumen u otros datos técnicos:
- 17,5º; 70 cl.

Imagen o escena principal:
- Escena de faena taurina con toros y jinetes.

Personajes, figuras o seres representados:
- Personas con indumentaria de faena.

Animales representados:
- Toro negro; toro blanco; caballos.

Objetos visibles:
- No se aprecia.

Vestimenta, accesorios o atributos:
- Traje de luces o indumentaria de faena con detalles en azul y blanco.

Elementos vegetales o agrícolas:
- Hojas y ramas de vegetación.

Elementos naturales no vegetales:
- No se aprecia.

Paisaje, arquitectura o entorno:
- Campo o entorno natural de faena.

Elementos decorativos:
- Escudo heráclido o emblema en la esquina inferior izquierda.

Sellos, escudos, medallas, premios, monedas o logotipos:
- Escudo de armas con figuras y ornamentos.

Fondo:
- Paisaje natural con vegetación y tonos terrosos.

Colores predominantes:
- Marrón; blanco; negro; verde; azul; rojo.

Marco, borde o forma de la etiqueta:
- Etiqueta rectangular.

Tipografía y disposición del texto:
- Texto dispuesto de forma invertida respecto a la imagen principal; tipografía con serif en mayúsculas.

Texto marginal, firma, imprenta o litografía:
- R.I.S. 30.1.529/CA; R.E. 232-CA; 17,5º; 70 cl.

Marcas externas de archivo o digitalización:
- No se aprecia.

Estado de conservación visible:
- Se observa una orientación invertida de la imagen y el texto respecto al soporte.

Calidad de la digitalización:
- Buena, con nitidez en los elementos gráficos.

Estilo visual:
- Ilustración de estilo clásico o litográfico.

Observaciones visuales:
- La imagen y el texto principal están rotados 180 grados respecto a la orientación de la lectura.
- La composición presenta una escena dinámica de toros y caballos.
- El escudo se sitúa en la esquina inferior izquierda de la composición visual.
- Existe un contraste marcado entre el toro negro y el toro blanco.
- La tipografía del nombre del producto es de mayor tamaño y color rojo.

Inferencias controlación para búsqueda:
- Se infiere que la etiqueta pertenece a una bodega de Jerez.

Descripción semántica ampliada para búsqueda:
- Etiqueta vinícola de vino Fino Marismeno.
- Bodega Sanchez Romate Hnos de Jerez.
- Ilustración de escena taurina con toros y caballos.
- Elementos gráficos que incluyen un escudo de armas y vegetación.
- Composición con predominio de colores tierra, blanco y negro.
- Estilo de ilustración clásica con detalles de indumentaria de faena.
- Texto con datos técnicos de graduación alcohólica y volumen.

Descriptores para búsqueda:
- Fino; Marismeno; Sanchez Romate Hnos; Jerez; vino; etiqueta; ilustración; taurino; toro; caballo; faena; escudo; heráldica; litografía; clásico; vintage; blanco; negro; azul; rojo; verde; vegetación; campo; bodega; España; producto vinícola; 17,5%; 70 cl.",5,5,5,0,
5_09,animales,M5056_98,ERROR,0,0,0,0,
3_03,personajes_ilustres,M6140_72,"Texto propio de la etiqueta:  
OCR original: JEREZ-QUINA; GRAN TÓNICO; EXCELENTE APERITIVO; Nº 232; NTRA SPA DE LOS MILAGROS; MANUEL SANCHEZ-ROMATE; JEREZ DE LA FRONTERA.  
Lectura visual corregida: JEREZ-QUINA; GRAN TÓNICO; EXCELENTE APERITIVO; Nº 232; NTRA SRA DE LOS MILAGROS; MANUEL SANCHEZ-ROMATE; JEREZ DE LA FRONTERA.  
Nombre del producto: JEREZ-QUINA.  
Marca principal: JEREZ-QUINA.  
Bodega, fabricante, distribuidor o razón comercial: MANUEL SANCHEZ-ROMATE.  
Tipo de producto visible: JEREZ-QUINA.  
Añada visible: No se aprecia.  
Fechas visibles no asociadas a añada: Nº 232.  
Sellos, escudos, medallas, premios, monedas o logotipos: NTRA SRA DE LOS MILAGROS (figura religiosa central).  
Elementos vegetales o agrícolas: Racimos de uvas, hojas de vid en el marco ornamental.  
Elementos naturales no vegetales: Nubes suaves en el fondo del retrato religioso.  
Paisaje, arquitectura o entorno: Retrato religioso con resplandor dorado, sin paisaje exterior.  
Tipografía y disposición del texto: Texto vertical en el margen izquierdo (Nº 232, NTRA SRA DE LOS MILAGROS, MANUEL SANCHEZ-ROMATE, JEREZ DE LA FRONTERA) y horizontal en el centro (GRAN TÓNICO, EXCELENTE APERITIVO).  
Texto marginal, firma, imprenta o litografía: No se aprecia.  
Marcas externas de archivo o digitalización: No se aprecia.  
Estado de conservación visible: Buen estado, sin rasgaduras visibles.  
Calidad de la digitalización: Alta, con detalles nítidos en la ilustración.  
Estilo visual: Etiqueta vinícola antigua con ilustración religiosa y ornamentos vegetales.  
Observaciones visuales:  
1. Centralización de la figura religiosa (NTRA SRA DE LOS MILAGROS) con niño en brazos, rodeada de racimos de uvas.  
2. Uvas representadas en tonos dorados y verdes, integradas en el marco ornamental.  
3. Simetría vertical en el texto marginal (Nº 232 a la izquierda, JEREZ DE LA FRONTERA a la derecha).  
4. Detalle de la corona de la figura religiosa y el resplandor dorado en el fondo.  
5. Deterioro mínimo en el borde derecho de la etiqueta.  
6. Uso de tipografía serif en el texto principal, con letras mayúsculas en el nombre del producto.  

Inferencias controladas para búsqueda:  
- La figura religiosa corresponde a Nuestra Señora de los Milagros, común en etiquetas de vino español.  
- ""JEREZ-QUINA"" es una variante de sherry, clasificada como ""GRAN TÓNICO"" en la etiqueta.  
- El número ""Nº 232"" sugiere una edición o lote específico, no una fecha.  

Descripción semántica ampliada para búsqueda:  
Etiqueta vinícola antigua de Jerez-Quina, con ilustración religiosa central de Nuestra Señ",8,8,7,1,
1_07,solo_texto,M9604_56,ERROR,0,0,0,0,
4_03,etiquetas_actuales,M2929_32,"Texto propio de la etiqueta:
- OCR original: AMONTILLADO A DIVISA
- Lectura visual corregida: AMONTILLADO A DIVISA
- Correcciones realizadas: No se realizaron correcciones.
- Texto dudoso: No se aprecia
- Texto incompleto: No se aprecia

Nombre del producto:
- Amontillado

Marca principal:
- Divisa

Bodega, fabricante, distribulator o razón comercial:
- No se aprecia

Tipo de producto visible:
- Amontillado

Lugar, procedencia o denominación visible:
- No se aprecia

Añada visible:
- No se aprecia

Premios, medallas, exposiciones o concursos visibles:
- No se aprecia

Fechas visibles no asociadas a añada:
- No se aprecia

Variedad, clase o categoría del vino:
- No se aprecia

Graduación, volumen u otros datos técnicos:
- No se aprecia

Imagen o escena principal:
- Retrato de una mujer de medio cuerpo.

Personajes, figuras o seres representados:
- Una mujer.

Animales representados:
- No se aprecia

Objetos visibles:
- No se aprecia

Vestimenta, accesorios o atributos:
- Sombrero oscuro.
- Blusa o chaqueta oscura con detalles claros en el cuello y pecho.
- Falda o prenda inferior de color azul claro.
- Cinturón o banda de color anaranjado/rosado.

Elementos vegetales o agrícolas:
- No se aprecia

Elementos naturales no vegetales:
- No se aprecia

Paisaje, arquitectura o entorno:
- Fondo neutro y liso.

Elementos decorativos:
- Un pequeño escudo o emblema heráldico en la parte superior derecha.
- Marco dorado que rodea la imagen central.
- Un círculo con la letra A en la parte inferior izquierda.

Sellos, escudos, medallas, premios, monedas o logotipos:
- Escudo heráldico con diseño ornamental en color rojo y dorado.

Fondo:
- Fondo de color beige o crema liso.

Colores predominantes:
- Beige, negro, azul, dorado, rojo.

Marco, borde o forma de la etiqueta:
- Etiqueta con forma de panel rectangular con bordes redondeados.

Tipografía y disposición del texto:
- Texto ""AMONTILLADO"" en la parte superior con tipografía estilizada y de color rojo.
- Letra ""A"" dentro de un círculo en la parte inferior izquierda.
- Texto ""DIVISA"" en la parte inferior con tipografía estilizada y de color rojo.

Texto marginal, firma, imprenta o litografía:
- No se aprecia

Marcas externas de archivo o digitalización:
- No se aprecia

Estado de conservación visible:
- Se observa una ligera pérdida de nitidez en la zona central de la imagen.

Calidad de la digitalización:
- Calidad media.

Estilo visual:
- Estilo de ilustración clásica o litografía antigua.

Observaciones visuales:
- La composición es centralizada con el retrato enmarcado por un borde dorado.
- El texto superior presenta un diseño de letras entrelazadas.
- Existe una asimetría decorativa con el escudo en la esquina superior derecha y un círculo con una letra en la esquina inferior izquierda.
- La iluminación en el retrato parece incidir desde el frente, resaltando el rostro de la figura.

Inferencias controladas para búsqueda:
- El término Amontillado sugiere un tipo de vino de Jerez.

Descripción semántica ampliada para búsqueda:
- Etiqueta de producto vinícola con el nombre Amontillado.
- La marca o denominación visible es Divisa.
- Presenta un retrato de una mujer con vestimenta clásica y sombrero oscuro.
- Incluye un elemento heráldico o escudo decorativo en la parte superior.
- La composición incluye un marco dorado alrededor de la imagen central.
- La tipografía es de estilo antiguo y color rojo.
- La paleta de colores combina tonos beige, azul, negro y detalles en dorado y rojo.
- La disposición del texto incluye una letra A en un círculo decorativo.

Descriptores para búsqueda:
- Amontillado; Divisa; etiqueta de vino; retrato femenino; mujer; sombrero; vestimenta clásica; escudo heráldico; emblema; marco dorado; tipografía roja; estilo antiguo; litografía; ilustración clásica; color beige; color azul; color negro; color rojo; color dorado; etiqueta antigua; producto vinícola; elemento decorativo; composición central; retrato de mujer; etiqueta comercial.",5,5,5,0,
5_02,animales,M3753_91,ERROR,0,0,0,0,
3_07,personajes_ilustres,M1763_26,"Texto propio de la etiqueta:
- OCR original: RECONSTITUYENTE ESTOMACAL TÓNICO APERITIVO R.E.410 KINA SAN CLEMENTE LÓPEZ HERMANOS SA. ·MÁLAGA·
- Lectura visual corregida: RECONSTITUYENTE ESTOMACAL TÓNICO APERITIVO R.E.410 KINA SAN CLEMENTE LÓPEZ HERMANOS S.A. ·MÁLAGA·
- Correcciones realizadas: Añadido punto en S.A.
- Texto dudoso: No se aprecia
- Texto incompleto: No se aprecia

Nombre del producto:
- KINA SAN CLEMENTE

Marca principal:
- KINA SAN CLEMENTE

Bodega, fabricante, distribuidor o razón comercial:
- LÓPEZ HERMANOS S.A.

Tipo de producto visible:
- RECONSTITUYENTE ESTOMACAL TÓNICO APERITIVO

Lugar, procedencia o denominación visible:
- MÁLAGA

Añada visible:
- No se aprecia

Premios, medallas, exposiciones o concursos visibles:
- No se aprecia

Fechas visibles no asociadas a añada:
- No se aprecia

Variedad, clase o categoría del vino:
- No se aprecia

Graduación, volumen u otros datos técnicos:
- R.E.410 (posible registro sanitario)

Imagen o escena principal:
- Retrato de un hombre con barba sosteniendo un libro.

Personajes, figuras o seres representados:
- Hombre con barba y cabello oscuro.

Animales representados:
- No se aprecia

Objetos visibles:
- Libro.

Vestimenta, accesorios o atributos:
- Túnica o vestidura de color marrón.

Elementos vegetales o agrícolas:
- Racimos de uvas y hojas de vid.

Elementos naturales no vegetales:
- Cielo azul claro.

Paisaje, arquitectura o entorno:
- No se aprecia

Elementos decorativos:
- Marco ornamental con motivos de vid y uvas.
- Fondo con textura de patrón vegetal.

Sellos, escudos, medallas, premios, monedas o logotipos:
- No se aprecia

Fondo:
- Azul claro en el medallón central y beige/crema con motivos vegetales en el resto de la etiqueta.

Colores predominantes:
- Marrón, azul, beige, dorado, verde.

Marco, borde o forma de la etiqueta:
- Rectangular con bordes irregulares y ornamentados.

Tipografía y disposición del texto:
- Texto vertical en el lateral izquierdo: KINA SAN CLEMENTE LÓPEZ HERMANOS S.A. ·MÁLAGA·
- Texto vertical en el lateral derecho: RECONSTITUYENTE ESTOMACAL TÓNICO APERITIVO
- Texto en el libro: R.E.410 (posiblemente parte de la inscripción en el objeto) y texto pequeño e ilegible.
- Tipografía de palo seco y con remates, en color rojo/naranja.

Texto marginal, firma, imprenta o litografía:
- No se aprecia

Marcas externas de archivo o digitalización:
- No se aprecia

Estado de conservación visible:
- Bordes desgastados, rotos e irregulares.

Calidad de la digitalización:
- Buena, con nitidez en los elementos gráficos.

Estilo visual:
- Ilustración clásica de estilo litográfico.

Observaciones visuales:
- La composición presenta un medallón central circular que contiene el retrato.
- El texto principal está dispuesto de forma perpendicular al eje largo de la etiqueta.
- Los motivos de uvas y hojas enmarcan la imagen central y los bordes.
- Existe un contraste cromático entre el azul del fondo central y el tono cálido de la tipografía.

Inferencias controladas para búsqueda:
- El producto parece ser un tónico o remedio medicinal de época.
- La presencia de uvas sugiere una relación con productos derivados de la vid o de origen vitivinícola.

Descripción semántica ampliada para búsqueda:
- Etiqueta antigua de producto medicinal o tónico denominado Kina San Clemente.
- Ilustración de un hombre con barba sosteniendo un libro dentro de un medallón circular.
- Elementos decorativos de racimos de uvas y hojas de vid en los márgenes.
- Texto dispuesto verticalmente indicando que es un reconstituyente estomacal y tónico aperitivo.
- Referencia comercial a la empresa López Hermanos S.A. en Málaga.
- Estilo visual de litografía clásica con colores azul, marrón y beige.
- Composición con marco ornamental vegetal y tipografía en tonos rojizos.

Descriptores para búsqueda:
- Kina San Clemente; López Hermanos S.A.; Málaga; tónico; aperitivo; reconstituyente estomacal; medicina antigua; etiqueta antigua; litografía; ilustración; retrato; hombre con barba; libro; uvas; racimos de uvas; vid; motivos vegetales; marco ornamental; azul; marrón; beige; tipografía vertical; producto medicinal; etiqueta comercial; diseño clásico; elemento decorativo; medicina tradicional.",5,5,5,0,
1_06,solo_texto,M9779_5,"Texto propio de la etiqueta:
- OCR original: SIROP DE ZARZAPARRILLA E. PICHOT DEPOSE 259 PARIS
- Lectura visual corregida: SIROP DE ZARZAPARRILLA E.PICHOT DEPOSE 259 PARIS
- Correcciones realizadas: Eliminación de espacio entre E. y PICHOT para coincidir con la disposición visual.
- Texto dudoso: No se aprecia
- Texto incompleto: No se aprecia

Nombre del producto:
- Sirop de zarzaparrilla

Marca principal:
- E.Pichot

Bodega, fabricante, distribución o razón comercial:
- E.Pichot

Tipo de producto visible:
- Sirop

Lugar, procedencia o denominación visible:
- Paris

Añada visible:
- No se aprecia

Premios, medallas, exposiciones o concursos visibles:
- No se aprecia

Fechas visibles no asociadas a añada:
- No se aprecia

Variedad, clase o categoría del vino:
- No se aprecia

Graduación, volumen u otros datos técnicos:
- No se aprecia

Imagen o escena principal:
- No se aprecia

Personajes, figuras o seres representados:
- No se aprecia

Animales representados:
- No se aprecia

Objetos visibles:
- No se aprecia

Vestimenta, accesorios o atributos:
- No se aprecia

Elementos vegetales o agrícolas:
- No se aprecia

Elementos naturales no vegetales:
- No se aprecia

Paisaje, arquitectura o entorno:
- No se aprecia

Elementos decorativos:
- Borde de color crema que delimita el área de texto.

Sellos, escudos, medallas, premios, monedas o logotipos:
- No se aprecia

Fondo:
- Fondo de color rojo intenso dentro de la etiqueta.
- Fondo de color oscuro y texturizado fuera de la etiqueta.

Colores predominantes:
- Rojo
- Crema
- Negro

Marco, borde o forma de la etiqueta:
- Forma rectangular con esquinas redondeadas.
- Borde de color crema.

Tipografía y disposición del texto:
- Texto dispuesto en tres niveles.
- ""SIROP DE"" en la parte inferior, orientado horizontalmente respecto a la rotación de la imagen.
- ""ZARZAPARRILLA"" en el centro, en tipografía de gran tamaño y estilo condensado.
- ""E.PICHOT DEPOSE 259 PARIS"" en la parte superior, en tipografía pequeña.
- La etiqueta se presenta rotada 90 grados hacia la izquierda.

Texto marginal, firma, imprenta o litografía:
- DEPOSE 259

Marcas externas de archivo o digitalización:
- No se aprecia

Estado de conservación visible:
- No se aprecia

Calidad de la digitalización:
- Buena

Estilo visual:
- Etiqueta comercial de estilo clásico.

Observaciones visuales:
- El texto principal presenta una tipografía sans-serif de gran peso.
- La disposición del texto es centralizada dentro del recuadro.
- Existe un contraste marcado entre el fondo rojo y las letras de color crema.
- La etiqueta presenta una orientación vertical respecto al plano de la imagen.

Inferencias controladas para búsqueda:
- Producto de origen francés.

Descripción semántica ampliada para búsqueda:
- Etiqueta comercial de producto tipo sirope.
- Texto principal indica Sirop de zarzaparrilla.
- Marca identificada como E.Pichot.
- Referencia a la ciudad de París.
- Diseño con fondo rojo y tipografía en color crema.
- Estilo de etiqueta antigua o clásica.
- Composición con texto en tres líneas y bordes redondeados.
- Tipografía condensada y de gran tamaño para el nombre del producto.

Descriptores para búsqueda:
- Sirop de zarzaparrilla; E.Pichot; Paris; Sirop; Zarzaparrilla; Etiqueta; Rojo; Crema; Tipografía condensada; Diseño clásico; Producto comercial; Francia; Etiqueta antigua; Texto en crema; Fondo rojo; Rectangular; Esquinas redondeadas; DEPOSE 259; Sin ilustraciones; Sin personajes; Sin elementos vegetales; Sin elementos animales; Sin paisaje; Sin adornos; Sin sellos; Sin medallas; Sin premios; Sin fecha; Sin logotipo; Sin marca de agua.",5,5,5,0,
3_05,personajes_ilustres,M1812_24,"Texto propio de la etiqueta:
- OCR original: PROVEEDOR DE LA REAL CASA CASA FUNDADA EN 1849 GRAN VINO GENEROSO AUTÉNTICO Y ANEJO SAN LAZARO"" Losé de la Cuesta Puerto de Santa Maria AÑO 1849 GRAPÍFICAS S.A. GINON
- Lectura visual corregida: PROVEEDOR DE LA REAL CASA GRAN VINO GENEROSO AUTÉNTICO Y AÑEJO ""SAN LAZARO"" José de la Cuesta Puerto de Santa María CASA FUNDADA EN 1849
- Correcciones realizadas: Corrección de ""ANEJO"" a ""AÑEJO""; corrección de ""Losé"" a ""José""; corrección de ""Santa Maria"" a ""Santa María""; eliminación de ""AÑO 1849"" por ser error de interpretación del OCR (la fecha 1849 se refiere a la fundación); eliminación de ""GRAPÍFICAS S.A. GINON"" por ser texto marginal de imprenta.
- Texto dudoso: No se aprecia
- Texto incompleto: No se aprecia

Nombre del producto:
- No se aprecia

Marca principal:
- ""SAN LAZARO""

Bodega, fabricante, distribuidor o razón comercial:
- José de la Cuesta

Tipo de producto visible:
- GRAN VINO GENEROSO AUTÉNTICO Y AÑEJO

Lugar, procedencia o denominación visible:
- Puerto de Santa María

Añada visible:
- No se aprecia

Premios, medallas, exposiciones o concursos visibles:
- No se aprecia

Fechas visibles no asociadas a añada:
- 1849 (fecha de fundación)

Variedad, clase o categoría del vino:
- Vino generoso

Graduación, volumen u otros datos técnicos:
- No se aprecia

Imagen o escena principal:
- Una figura humana en una postura dinámica o de esfuerzo.

Personajes, figuras o seres representados:
- Un hombre con torso desnudo o parcialmente cubierto.

Animales representados:
- No se aprecia

Objetos visibles:
- Una lanza o vara larga.

Vestimenta, accesorios o atributos:
- Tela o drapedado sobre el cuerpo.
- Un tocado o banda en la cabeza.

Elementos vegetales o agrícolas:
- No se aprecia

Elementos naturales no vegetales:
- Cielo con tonalidades claras.

Paisaje, arquitectura o entorno:
- Estructura arquitectónica de fondo (parece una torre o edificio).

Elementos decorativos:
- Motivo floral o voluta estilizada.
- Escudos heráldicos.

Sellos, escudos, medallas, premios, monedas o logotipos:
- Escudo superior con diseño heráldico y leyenda ""PROVEEDOR DE LA REAL CASA"".
- Escudo inferior con diseño heráldico y leyenda ""CASA FUNDADA EN 1849"".

Fondo:
- Fondo claro con degradados de color amarillento y azulado.

Colores predominantes:
- Crema, ocre, azul, marrón y rojo.

Marco, borde o forma de la etiqueta:
- Rectangular con borde dorado fino.

Tipografía y disposición del texto:
- Texto principal en disposición curva y vertical.
- Uso de tipografías con serif y estilo clásico.
- Texto en mayúsculas y minúsculas.

Texto marginal, firma, imprenta o litografía:
- GRÁFICAS S.A. GINON

Marcas externas de archivo o digitalización:
- No se aprecia

Estado de conservación visible:
- Se observa ligero desgaste y manchas de edad en el soporte.

Calidad de la digitalización:
- Buena, con nitidez en los elementos gráficos.

Estilo visual:
- Ilustración clásica de estilo litográfico.

Observaciones visuales:
- La composición presenta una fuerte verticalidad en el texto de la izquierda.
- Los dos escudos flanquean la parte superior y derecha de la etiqueta.
- La figura central está integrada con el fondo mediante pinceladas suaves.
- Existe una disposición radial del texto ""GRAN VINO GENEROSO AUTÉNTICO Y AÑEJO"".

Inferencias controladas para búsqueda:
- La etiqueta pertenece a una bodega de Jerez o zona cercana por la mención a Puerto de Santa María.
- El estilo sugiere una etiqueta de finales del siglo XIX o principios del XX.

Descripción semántica ampliada para búsqueda:
- Etiqueta vinícola antigua de la marca ""SAN LAZARO"".
- Ilustración de una figura humana masculina con lanza en estilo clásico.
- Elementos heráldicos con la inscripción ""PROVEEDOR DE LA REAL CASA"".
- Texto con mención a ""José de la Cuesta"" y ""Puerto de Santa María"".
- Tipografía clásica dispuesta de forma vertical y curva.
- Colores ocre, azul y crema en composición litográfica.
- Motivos decorativos florales y escudos de armas.
- Diseño de etiqueta para vino generoso.

Descriptores para búsqueda:
- etiqueta de vino; San Lázaro; José de la Cuesta; Puerto de Santa María; vino generoso; vino auténtico; añejo; proveedor de la real casa; escudo heráldico; litografía; ilustración clásica; figura humana; lanza; arquitectura; fondo degradado; tipografía clásica; color ocre; color azul; color crema; diseño antiguo; etiqueta comercial; bodega; España; heráldica; motivo floral; elemento decorativo; gráfico antiguo; etiqueta vinícola.",5,5,5,0,
