id,texto_referencia
1_01,"Manzanilla
A. R. Valdespino
JEREZ"
1_02,"MANZANILLA GARCÍA
MARCA REGISTRADA
A.R.VALDESPINO Y H.NO
SANLUCAR DE BARRAMEDA"
1_03,"Oporto
Joquin Leonar
Cosechero y Almacenista
SANLUCAR DE BARRAMEDA"
1_04,"Marca “ROMERO”
Maria J. de Otaolaurruchi
MANSANILLA PASADA
Sanlucar de Barrameda"
1_05,"Vino de ha Rioja
María Otaolaurruchi
SANLUCAR DE BARRAMEDA"
1_06,"SIROP DE
ZARZAPARRILLA
E. PICHOT DEPOSE 259 PARIS"
1_07,"ANIS
SUPERIOR
LIT. CARLOS SABADELL. SN PABLO, 17. BARNA."
1_08,"P.R.
Montillado Fino
Jerez"
1_09,"FINO DEL
MAESTRO SIERRA
JEREZ"
1_10,"PURVEYORS TO H.M. KING ALFONSO XIII
Gonzalez, Byass y Ca
Jerez
DULCE CONSTANCIA"
2_01,"Moscatel Pasa ""EVORA""
ANTONIO BARBADILLO S.L.
SANLÚCAR DE BARRAMEDA
EMBOTELLADORES Nº 32 TIMBRE A METALICO"
2_02,"MANZANILLA AMONTILLADA
TIMBRE A METALICO
MIL PESETAS
MARCA REGISTRADA
VICENTE ROMERO VILLARREAL
(SUCESORES)
SANLUCAR DE BARRAMEDA
(CADIZ)
Lit Miguel Salido Jerez
Registro oficial de Embotelladores N.º 32."
2_03,"BARBADILLO
A B A 1821
BRANDY
""CREQUI""
(VIEJISIMO)
Antonio Barbadillo, S. L.
Sanlucar de Barrameda
(ANDALUCIA-ESPAÑA)
32
TODOS LOS VINOS DE ESTA CASA PROCEDEN DE VIÑAS ENCLAVADAS EN LAS
ZONAS DE SANLUCAR Y JEREZ, CUYA CIRCUNSTANGIA, UNIDA A LA ANTIGUEDAD
DE SUS SOLERAS, SON LAS MEJORES GARANTÍAS DE SUS PRODUCTOS"
2_04,"VINO QUINADO
San Anton
GRAN APERITIVO
JOSE JURADO
SANLUCAR DE BARRAMEDA (CADIZ)"
2_05,"Manzanilla
Olorosa
""Catadora"",
JOSE JURADO
SANLUCAR DE BARRAMEDA
IMP. DIEGO MOPÓN. SOL. 14 - SEVILLA"
2_06,"CADIZ 1877 BURDEOS 1895
PARIS 1900 MADRID 1907 CHICAGO 1892
EL ABUELITO
VINO MUY AÑEJO Y DE FRUTO ESCOJIDO
Eduardo Floridos
CHIPIONA (CADIZ)."
2_07,"Eduardo Floridu Ruiz
JEREZ TRES CORTADOS
CHIPIONA (CADIZ).
LIT. J. BENITEZ - CADIZ."
2_08,"Bodegas
Yuste
Señorita Irene
Fino
SHERRY
15% vol.
75 cl. e
D.O. JEREZ - XÉRÉS - SHERRY"
2_09,"Manzanilla
La Kika
Bodegas
Yuste
D.O. MANZANILLA DE SANLUCAR DE BARRAMEDA"
2_10,"BRANDY
JEREZANO
PROCEDENTE DE
VINOS DE ""JEREZ""
SELECCIONADOS.
A. F. Galloso
PUERTO DE SANTA MARIA
ESPAÑA
GRAFISHERRY"
3_01,"TIP. Y LIT. DE F. MUÑOZ - MALAGA
NTRA. SRA. DEL CARMEN
VINO PARA ENFERMOS
ALBERTO ROMERO Ca
JEREZ DE LA FRONTERA
MARCA DEPOSITADA
PROVEEDORES DE LA REAL CASA."
3_02,"GRAN VINO MILAGROSO
EL APOSTOL
SANTIAGO
MANUEL DE MORALES Y UBREVA
JEREZ
MIGUEL SALIDO 5202. B"
3_03,"JEREZ-QUINA
GRAN TÓNICO
EXCELENTE APERITIVO
Nº 232
NTRA SPA DE LOS MILAGROS
MANUEL SANCHEZ-ROMATE
JEREZ DE LA FRONTERA"
3_04,"JEREZ-QUINA
SAN FRANCISCO
TONICO
APERITIVO
F.G. CEBALLOS
JEREZ
LIT. TIP. JEREZ GRAPHICO"
3_05,"PROVEEDOR DE LA REAL CASA
CASA FUNDADA EN 1849
GRAN VINO GENEROSO
AUTÉNTICO Y ANEJO
SAN LAZARO""
Losé de la Cuesta
Puerto de Santa Maria
AÑO 1849
GRAPÍFICAS S.A. GINON"
3_06,"VINO QUINADO
Santa Teresa
BODEGAS SANCHO, S.A.
FUNDADA EN 1812
PUERTO DE SANTA MARIA
LIT HURTADO JEREZ"
3_07,"RECONSTITUYENTE
ESTOMACAL
TÓNICO APERITIVO
R.E.410
KINA
SAN CLEMENTE
LÓPEZ HERMANOS S.A.
·MÁLAGA·"
3_08,"Vinha Veho
DO PORTO
FREI AGOSTINHO
COMPANHIA VINICOLA PORTUGUEZA"
3_09,"VINO QUINA
ELABORADO CON SELECTOS VINOS DE LA MANCHA
LEOPOLD II ROI DRS BELGES
SS.MM. EL REY DON ALFONSO XII REINO DE ESPAÑA
San Pedro
15% Vol.
1 L.
EXPOSITION FRANCAISE
REPUBLIQUE FRANCAISE
SUCESOR DE
HIJOS DE P. VELA
R.E.378-TO
C./ José Antonio, 51 - Quintanar de la Orden (Toledo)
E-150
R.S.1.30.-254/TO
LIT HURTADO JEREZ"
3_10,"VENUS
LACRYMA CHRYSTI SPUMANTE
VINI BERTOCCHINI • LIVORNO
LARTEGRAFICA • LIVORNO
ETICHETTA DEPOSITATA"
4_01,"CAYETANO DEL PINO & CIA
JEREZ-XÉRÈS-SHERRY SINCE 1886
Palo Cortado
Superior
Zaca de primavera 2025 · Botella: ___ / 1000"
4_02,"MANZANILLA
PASADA
EN RAMA
PASTORA
DE LA
B 1821
BODEGAS BARBADILLO
SANLUCAR DE BARRAMEDA"
4_03,"AMONTILLADO
A
DIVISA"
4_04,"Manzanilla
La Kika
Bodegas
F Yuste
D.O. MANZANILLA DE SANLUCAR DE BARRAMEDA"
4_05,"CAYETANO DEL PINO & Cia.
JEREZ - XÉRÈS - SHERRY
AMONTILLADO VOS"
