kind,name,metric,value,ci_low,ci_high,wilcoxon_p,perm_p
contrast,ocr_vlm_hybrid_segmented vs bm25_fusion,ndcg_at_10,0.019941,-0.017319,0.058704,0.382812,0.336517
contrast,ocr_vlm_hybrid_segmented vs bm25_fusion,map_at_10,0.008210,-0.036101,0.051062,0.945312,0.726963
contrast,ocr_vlm_hybrid_segmented vs ocr_vlm_hybrid_full,ndcg_at_10,0.051537,-0.079888,0.173647,0.577148,0.451135
contrast,ocr_vlm_hybrid_segmented vs ocr_vlm_hybrid_full,map_at_10,0.089704,-0.032870,0.213458,0.206055,0.198928
system,solo_vlm,ndcg_at_10,0.629664,0.466007,0.787744,,
system,solo_vlm,map_at_10,0.473626,0.307420,0.641796,,
system,ocr_vlm,ndcg_at_10,0.610337,0.448597,0.773251,,
system,ocr_vlm,map_at_10,0.441407,0.284564,0.620719,,
system,ocr_vlm_hybrid_full,ndcg_at_10,0.675923,0.513725,0.825300,,
system,ocr_vlm_hybrid_full,map_at_10,0.512980,0.359925,0.676086,,
system,ocr_vlm_hybrid_segmented,ndcg_at_10,0.727460,0.549082,0.878512,,
system,ocr_vlm_hybrid_segmented,map_at_10,0.602684,0.427348,0.771549,,
system,bm25_fusion,ndcg_at_10,0.707519,0.517538,0.871870,,
system,bm25_fusion,map_at_10,0.594474,0.407621,0.774477,,
